Vrikshasana,"(0.478100061416626, 0.3208377957344055)","(0.48723140358924866, 0.13819900155067444)","(0.45992153882980347, 0.13613766431808472)","(0.5154404044151306, 0.17055505514144897)","(0.4452028274536133, 0.16741561889648438)","(0.5947980284690857, 0.2695406675338745)","(0.3637846112251282, 0.26568135619163513)","(0.5761637687683105, 0.3816112279891968)","(0.37095198035240173, 0.37863072752952576)","(0.5398757457733154, 0.5901650190353394)","(0.3985518515110016, 0.5804990530014038)","(0.5132892727851868, 0.7394372820854187)","(0.1705854833126068, 0.6719892621040344)","(0.4630421996116638, 0.8529074192047119)","(0.44748276472091675, 0.6534481644630432)","(0.4715283215045929, 0.9188426733016968)","(0.5063270330429077, 0.7208110690116882)","(0.47355787456035614, 0.38012097775936127)"
Hasta Uttanasan,"(0.41614431142807007, 0.6263062357902527)","(0.4435458481311798, 0.921572208404541)","(0.4257444441318512, 0.8920589685440063)","(0.5274620652198792, 0.9141548275947571)","(0.5121036767959595, 0.8730886578559875)","(0.5174931287765503, 0.750335156917572)","(0.5022460222244263, 0.7155020833015442)","(0.31422728300094604, 0.5714521408081055)","(0.27475056052207947, 0.5433835387229919)","(0.7672924995422363, 0.1844385415315628)","(0.6703135371208191, 0.16695944964885712)","(0.5623749494552612, 0.5707690715789795)","(0.5135308504104614, 0.5371643900871277)","(0.5398021936416626, 0.8787912130355835)","(0.5106546878814697, 0.8463321924209595)","(0.24978262186050415, 0.9397981762886047)","(0.29927974939346313, 0.9218665361404419)","(0.29448892176151276, 0.5574178397655487)"
Panchim Uttanasan,"(0.41072317957878113, 0.5974583625793457)","(0.13003939390182495, 0.5950843095779419)","(0.12098175287246704, 0.4934829771518707)","(0.17947494983673096, 0.6831550598144531)","(0.16808545589447021, 0.509777843952179)","(0.3295535445213318, 0.8030451536178589)","(0.3350241780281067, 0.5210098028182983)","(0.4846344590187073, 0.5225053429603577)","(0.48741596937179565, 0.36025911569595337)","(0.7982140183448792, 0.703741192817688)","(0.7686231732368469, 0.5741909742355347)","(0.46474340558052063, 0.7211838364601135)","(0.47190767526626587, 0.6180127263069153)","(0.1886928677558899, 0.7554091215133667)","(0.1946839690208435, 0.6131834983825684)","(0.08418679237365723, 0.5619576573371887)","(0.09763622283935547, 0.4795018136501312)","(0.48602521419525146, 0.4413822293281555)"
Vajrasana,"(0.5199934840202332, 0.21205110847949982)","(0.6171491742134094, 0.642704427242279)","(0.43408405780792236, 0.6288142800331116)","(0.6417302489280701, 0.6061376929283142)","(0.3951736092567444, 0.5910300016403198)","(0.7237678170204163, 0.5024592876434326)","(0.2968529462814331, 0.491443008184433)","(0.6971471905708313, 0.3459807336330414)","(0.3525019884109497, 0.33988556265830994)","(0.6328131556510925, 0.5824341773986816)","(0.4226345717906952, 0.5826365947723389)","(0.6628731489181519, 0.7622883915901184)","(0.3927777409553528, 0.7551825642585754)","(0.6127229332923889, 0.6261548399925232)","(0.44164103269577026, 0.6200158596038818)","(0.6130347847938538, 0.6473615765571594)","(0.4626244604587555, 0.6471468210220337)","(0.5248245894908905, 0.34293314814567566)"
Taadasana,"(0.515304446220398, 0.31034615635871887)","(0.5457148551940918, 0.13582083582878113)","(0.45245370268821716, 0.13977602124214172)","(0.5806876420974731, 0.15393313765525818)","(0.4276379942893982, 0.16252511739730835)","(0.6080131530761719, 0.25657564401626587)","(0.4130963683128357, 0.26983609795570374)","(0.6101852059364319, 0.3600677251815796)","(0.4239808917045593, 0.366411417722702)","(0.5886207222938538, 0.5737839341163635)","(0.46022462844848633, 0.5723764300346375)","(0.5880317687988281, 0.7050529718399048)","(0.4747766852378845, 0.7027333974838257)","(0.5878873467445374, 0.8157932162284851)","(0.4994993507862091, 0.8091228604316711)","(0.5776405334472656, 0.8844186067581177)","(0.5039712190628052, 0.8781729936599731)","(0.5170830488204956, 0.3632395714521408)"
Padmasana,"(0.4667263329029083, 0.2981344759464264)","(0.8569382429122925, 0.661387026309967)","(0.07883507013320923, 0.6483217477798462)","(0.8072370290756226, 0.6278886795043945)","(0.14141064882278442, 0.6193537712097168)","(0.6863409280776978, 0.5267727375030518)","(0.2775869369506836, 0.5172810554504395)","(0.6411099433898926, 0.3968048691749573)","(0.31158432364463806, 0.3947603106498718)","(0.5850306153297424, 0.5792982578277588)","(0.37741076946258545, 0.5823540091514587)","(0.8307900428771973, 0.6577715873718262)","(0.1158115565776825, 0.6556243896484375)","(0.4027301073074341, 0.6302642822265625)","(0.5644174218177795, 0.6254291534423828)","(0.19163778424263, 0.6239655613899231)","(0.7187105417251587, 0.6132258176803589)","(0.4763471335172653, 0.39578258991241455)"
Bhujangasana,"(0.21725106239318848, 0.24086493253707886)","(0.3034014105796814, 0.676626980304718)","(0.3649619519710541, 0.5457507967948914)","(0.32983747124671936, 0.6727328896522522)","(0.35704365372657776, 0.5342926979064941)","(0.35921546816825867, 0.5275042057037354)","(0.37102076411247253, 0.4492200016975403)","(0.2592160105705261, 0.4180063009262085)","(0.28987830877304077, 0.36269253492355347)","(0.41780561208724976, 0.5635809898376465)","(0.4226650297641754, 0.510571300983429)","(0.5636401772499084, 0.6103729009628296)","(0.5696045756340027, 0.5366686582565308)","(0.6877607107162476, 0.5715486407279968)","(0.6866112947463989, 0.5502368211746216)","(0.7228877544403076, 0.5703822374343872)","(0.715947151184082, 0.5810122489929199)","(0.27454715967178345, 0.390349417924881)"
